FGB ID	Number of Families	Family names
FGB1433	2	f__Lachnospiraceae,f__Ruminococcaceae
FGB1436	1	f__Lachnospiraceae
FGB1438	1	f__Lachnospiraceae
FGB1440	1	f__Lachnospiraceae
FGB1441	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1442	2	f__Lachnospiraceae,f__Clostridiales_unclassified
FGB1444	1	f__Lachnospiraceae
FGB1447	1	f__Lachnospiraceae
FGB1449	1	f__Lachnospiraceae
FGB1454	1	f__Lachnospiraceae
FGB1455	1	f__Eubacteriaceae
FGB1463	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1466	2	f__Lachnospiraceae,f__Eubacteriaceae
FGB1468	1	f__Lachnospiraceae
FGB1469	1	f__Lachnospiraceae
FGB1476	3	f__Lachnospiraceae,f__Eubacteriaceae,f__Clostridiales_unclassified
FGB1480	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1489	2	f__Lachnospiraceae,f__Eubacteriaceae
FGB1494	1	f__Lachnospiraceae
FGB1500	1	f__Lachnospiraceae
FGB1508	1	f__Lachnospiraceae
FGB1509	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1522	1	f__Lachnospiraceae
FGB1527	1	f__Lachnospiraceae
FGB1535	1	f__Lachnospiraceae
FGB1565	1	f__Pelagibacteraceae
FGB1573	1	f__Enterobacteriaceae
FGB1574	1	f__Vibrionaceae
FGB1576	1	f__Enterobacteriaceae
FGB1577	5	f__Bacteria_unclassified,f__Gammaproteobacteria_unclassified,f__Yersiniaceae,f__Erwiniaceae,f__Enterobacteriaceae
FGB1579	2	f__Flavobacteriales_unclassified,f__Blattabacteriaceae
FGB1580	1	f__Rhizobiales_unclassified
FGB1581	3	f__Oxalobacteraceae,f__Betaproteobacteria_unclassified,f__Halomonadaceae
FGB1588	2	f__Holosporaceae,f__Candidatus_Midichloriaceae
FGB1589	1	f__Rickettsiaceae
FGB1590	1	f__Rhodospirillaceae
FGB1591	1	f__Rickettsiaceae
FGB1601	1	f__Parachlamydiaceae
FGB1603	1	f__Parachlamydiaceae
FGB1604	1	f__Parachlamydiaceae
FGB1605	1	f__Chlamydiaceae
FGB1617	1	f__Gammaproteobacteria_unclassified
FGB1618	1	f__Gammaproteobacteria_unclassified
FGB1619	1	f__Anaplasmataceae
FGB1621	1	f__Anaplasmataceae
FGB1622	1	f__Anaplasmataceae
FGB1623	1	f__Anaplasmataceae
FGB1626	1	f__Mycoplasmataceae
FGB1627	1	f__Mycoplasmataceae
FGB1628	1	f__Mycoplasmataceae
FGB1629	1	f__Mycoplasmataceae
FGB1631	1	f__Mycoplasmataceae
FGB1632	3	f__Mycoplasmataceae,f__Spiroplasmataceae,f__Entomoplasmataceae
FGB1633	1	f__Leuconostocaceae
FGB1638	1	f__Francisellaceae
FGB1680	1	f__Rhizobiales_unclassified
FGB1687	1	f__Candidatus_Nanopelagicaceae
FGB1688	2	f__Actinobacteria_unclassified,f__Candidatus_Nanopelagicaceae
FGB1701	1	f__Acidaminococcaceae
FGB1702	1	f__Acidaminococcaceae
FGB1707	1	f__Veillonellaceae
FGB1708	1	f__Veillonellaceae
FGB1711	1	f__Veillonellaceae
FGB1712	1	f__Veillonellaceae
FGB1717	1	f__Selenomonadaceae
FGB1719	1	f__Mycoplasmataceae
FGB1720	1	f__Mycoplasmataceae
FGB1721	1	f__Mycoplasmataceae
FGB1723	1	f__Brachyspiraceae
FGB1727	1	f__Fusobacteriaceae
FGB1728	1	f__Fusobacteriaceae
FGB1731	1	f__Leptotrichiaceae
FGB1732	1	f__Leptotrichiaceae
FGB1735	1	f__Lachnospiraceae
FGB1738	2	f__Tissierellaceae,f__Tissierellales_unclassified
FGB1743	1	f__Clostridiaceae
FGB1744	2	f__Clostridiaceae,f__Clostridiales_unclassified
FGB1746	1	f__Clostridiaceae
FGB1747	1	f__Clostridiaceae
FGB1748	1	f__Clostridiaceae
FGB1751	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1752	5	f__Gottschalkiaceae,f__Peptostreptococcaceae,f__Lachnospiraceae,f__Clostridiaceae,f__Erysipelotrichaceae
FGB1753	1	f__Peptostreptococcaceae
FGB1755	1	f__Clostridiaceae
FGB1757	1	f__Clostridiaceae
FGB1803	1	f__Peptostreptococcaceae
FGB1804	5	f__Peptoniphilaceae,f__Clostridiales_Family_XIII_Incertae_Sedis,f__Peptostreptococcaceae,f__Lachnospiraceae,f__Erysipelotrichaceae
FGB1815	2	f__Peptoniphilaceae,f__Aerococcaceae
FGB1818	2	f__Peptoniphilaceae,f__Tissierellia_unclassified
FGB1819	1	f__Peptoniphilaceae
FGB1820	1	f__Peptoniphilaceae
FGB1821	2	f__Peptoniphilaceae,f__Clostridiales_unclassified
FGB1828	1	f__Erysipelotrichaceae
FGB1831	2	f__Lactobacillaceae,f__Erysipelotrichaceae
FGB1832	2	f__Firmicutes_unclassified,f__Erysipelotrichaceae
FGB1833	2	f__Chlamydiaceae,f__Erysipelotrichaceae
FGB1845	1	f__Erysipelotrichaceae
FGB1846	1	f__Tenericutes_unclassified
FGB1849	1	f__Acholeplasmataceae
FGB1855	1	f__Acholeplasmataceae
FGB1863	1	f__Sporomusaceae
FGB1865	1	f__Sporomusaceae
FGB1867	1	f__Sporomusaceae
FGB1873	1	f__Veillonellaceae
FGB1875	1	f__Selenomonadaceae
FGB1878	1	f__Selenomonadaceae
FGB1879	1	f__Desulfurobacteriaceae
FGB1888	3	f__Symbiobacteriaceae,f__Clostridiales_Family_XVII_Incertae_Sedis,f__Limnochordaceae
FGB1890	1	f__Alicyclobacillaceae
FGB1891	1	f__Clostridiales_Family_XVI_Incertae_Sedis
FGB1892	1	f__Thermoanaerobacteraceae
FGB1893	1	f__Thermoanaerobacteraceae
FGB1894	2	f__Heliobacteriaceae,f__Thermoanaerobacteraceae
FGB1895	1	f__Peptococcaceae
FGB1898	1	f__Carnobacteriaceae
FGB1899	1	f__Lactobacillaceae
FGB1901	1	f__Lactobacillaceae
FGB1903	1	f__Lactobacillaceae
FGB1904	1	f__Lactobacillaceae
FGB1905	1	f__Lactobacillaceae
FGB1906	2	f__Lactobacillaceae,f__Bifidobacteriaceae
FGB1907	1	f__Leuconostocaceae
FGB1908	1	f__Leuconostocaceae
FGB1909	1	f__Lactobacillaceae
FGB1910	1	f__Lactobacillaceae
FGB1912	1	f__Lactobacillaceae
FGB1913	1	f__Lactobacillaceae
FGB1915	1	f__Lactobacillaceae
FGB1916	1	f__Lactobacillaceae
FGB1917	1	f__Lactobacillaceae
FGB1918	1	f__Lactobacillaceae
FGB1920	2	f__Oscillospiraceae,f__Lachnospiraceae
FGB1921	3	f__Lachnospiraceae,f__Eubacteriaceae,f__Clostridiales_unclassified
FGB1922	7	f__Eubacteriaceae,f__Hungateiclostridiaceae,f__Clostridiaceae,f__Oscillospiraceae,f__Lachnospiraceae,f__Firmicutes_unclassified,f__Ruminococcaceae
FGB1923	1	f__Lachnospiraceae
FGB1924	2	f__Bacillales_unclassified,f__Streptococcaceae
FGB1927	1	f__Thermoanaerobacteraceae
FGB1928	1	f__Paenibacillaceae
FGB1929	1	f__Paenibacillaceae
FGB1930	1	f__Paenibacillaceae
FGB1931	1	f__Paenibacillaceae
FGB1933	2	f__Paenibacillaceae,f__Bacillaceae
FGB1934	1	f__Paenibacillaceae
FGB1936	1	f__Paenibacillaceae
FGB1937	1	f__Paenibacillaceae
FGB1938	1	f__Paenibacillaceae
FGB1939	1	f__Paenibacillaceae
FGB1940	1	f__Paenibacillaceae
FGB1941	1	f__Paenibacillaceae
FGB1942	1	f__Paenibacillaceae
FGB1943	2	f__Paenibacillaceae,f__Bacillaceae
FGB1944	2	f__Carnobacteriaceae,f__Tissierellia_unclassified
FGB1946	2	f__Bacillaceae,f__Planococcaceae
FGB1949	1	f__Listeriaceae
FGB1950	1	f__Listeriaceae
FGB1951	1	f__Bacillaceae
FGB1952	1	f__Bacillaceae
FGB1953	2	f__Bacillaceae,f__Planococcaceae
FGB1954	1	f__Planococcaceae
FGB1955	2	f__Bacillaceae,f__Planococcaceae
FGB1956	1	f__Bacillaceae
FGB1957	1	f__Bacillaceae
FGB1958	1	f__Bacillaceae
FGB1959	1	f__Bacillaceae
FGB1960	1	f__Bacillaceae
FGB1961	1	f__Bacillaceae
FGB1962	1	f__Bacillaceae
FGB1963	1	f__Bacillaceae
FGB1964	1	f__Bacillaceae
FGB1965	2	f__Bacillaceae,f__Planococcaceae
FGB1966	1	f__Staphylococcaceae
FGB1967	1	f__Bacillaceae
FGB1969	1	f__Aerococcaceae
FGB1970	1	f__Staphylococcaceae
FGB1971	1	f__Carnobacteriaceae
FGB1972	4	f__Carnobacteriaceae,f__Aerococcaceae,f__Clostridiaceae,f__Clostridiales_unclassified
FGB1973	2	f__Carnobacteriaceae,f__Aerococcaceae
FGB1974	1	f__Carnobacteriaceae
FGB1975	3	f__Enterococcaceae,f__Lactobacillaceae,f__Carnobacteriaceae
FGB1976	1	f__Streptococcaceae
FGB1978	1	f__Aerococcaceae
FGB1979	1	f__Carnobacteriaceae
FGB1980	1	f__Thermoactinomycetaceae
FGB1982	1	f__Thermoactinomycetaceae
FGB1985	1	f__Thermoactinomycetaceae
FGB1987	1	f__Sporolactobacillaceae
FGB1991	1	f__Bacillaceae
FGB1992	1	f__Bacillaceae
FGB1993	1	f__Bacillaceae
FGB1994	1	f__Bacillaceae
FGB1995	2	f__Bacillaceae,f__Sporolactobacillaceae
FGB1996	1	f__Bacillales_unclassified
FGB1997	1	f__Bacillales_unclassified
FGB1998	2	f__Bacillaceae,f__Planococcaceae
FGB1999	1	f__Bacillaceae
FGB2000	1	f__Bacillaceae
FGB2001	1	f__Bacillaceae
FGB2005	1	f__Bacillaceae
FGB2008	1	f__Peptococcaceae
FGB2009	1	f__Peptococcaceae
FGB2011	1	f__Peptococcaceae
FGB2014	1	f__Alicyclobacillaceae
FGB2020	1	f__Peptococcaceae
FGB2022	1	f__Peptococcaceae
FGB2023	1	f__Peptococcaceae
FGB2032	1	f__Balneolaceae
FGB2034	1	f__Chlorobiaceae
FGB2043	7	f__Hungateiclostridiaceae,f__Tissierellia_unclassified,f__Ruminococcaceae,f__Thermoanaerobacterales_Family_IV_Incertae_Sedis,f__Lachnospiraceae,f__Syntrophomonadaceae,f__Clostridiaceae
FGB2045	1	f__Peptostreptococcaceae
FGB2054	1	f__Synergistaceae
FGB2059	1	f__Acidimicrobiaceae
FGB2065	1	f__Micrococcales_unclassified
FGB2068	1	f__Alicyclobacillaceae
FGB2072	1	f__Clostridiales_Family_XVII_Incertae_Sedis
FGB2073	1	f__Natranaerobiaceae
FGB2074	1	f__Bacillales_unclassified
FGB2075	1	f__Clostridiaceae
FGB2076	2	f__Clostridiaceae,f__Clostridiales_unclassified
FGB2078	1	f__Clostridiaceae
FGB2083	1	f__Thermoanaerobacterales_Family_III_Incertae_Sedis
FGB2084	1	f__Dictyoglomaceae
FGB2085	2	f__Thermoanaerobacteraceae,f__Thermoanaerobacterales_Family_III_Incertae_Sedis
FGB2087	2	f__Thermoanaerobacteraceae,f__Thermoanaerobacterales_Family_III_Incertae_Sedis
FGB2097	1	f__Halanaerobiaceae
FGB2098	1	f__Halobacteroidaceae
FGB2099	1	f__Halobacteroidaceae
FGB2129	1	f__Opitutaceae
FGB2130	2	f__Opitutaceae,f__Verrucomicrobia_unclassified
FGB2143	1	f__Peptococcaceae
FGB2149	1	f__Methylacidiphilaceae
FGB2181	1	f__Desulfovibrionaceae
FGB2182	1	f__Desulfovibrionaceae
FGB2187	1	f__Desulfovibrionaceae
FGB2189	1	f__Desulfobulbaceae
FGB2199	1	f__Desulfuromonadaceae
FGB2203	2	f__Geobacteraceae,f__Desulfuromonadaceae
FGB2205	2	f__Geobacteraceae,f__Desulfuromonadaceae
FGB2206	1	f__Geobacteraceae
FGB2210	7	f__Syntrophobacteraceae,f__Dehalococcoidia_unclassified,f__Desulfobulbaceae,f__Desulfarculaceae,f__Kiritimatiellaceae,f__Geobacteraceae,f__Desulfovibrionaceae
FGB2211	2	f__Deltaproteobacteria_unclassified,f__Desulfobulbaceae
FGB2239	2	f__Desulfobacteraceae,f__Cardiobacteriaceae
FGB2242	1	f__Desulfobacteraceae
FGB2243	1	f__Syntrophobacteraceae
FGB2245	1	f__Desulfobacteraceae
FGB2246	1	f__Desulfobacteraceae
FGB2247	1	f__Desulfobacteraceae
FGB2254	1	f__Syntrophaceae
FGB2259	1	f__Syntrophaceae
FGB2268	1	f__Nitrospiraceae
FGB2269	1	f__Acidobacteriaceae
FGB2276	1	f__Nitrospiraceae
FGB2277	1	f__Nitrospiraceae
FGB2293	1	f__Kiloniellaceae
FGB2302	2	f__Burkholderiaceae,f__Nitrospiraceae
FGB2308	1	f__Gammaproteobacteria_unclassified
FGB2318	1	f__Kangiellaceae
FGB2327	1	f__Porticoccaceae
FGB2337	1	f__Piscirickettsiaceae
FGB2338	1	f__Piscirickettsiaceae
FGB2342	1	f__Lewinellaceae
FGB2366	1	f__Calditrichaceae
FGB2381	1	f__Akkermansiaceae
FGB2382	1	f__Akkermansiaceae
FGB2396	2	f__Sutterellaceae,f__Burkholderiales_unclassified
FGB2400	1	f__Sutterellaceae
FGB2418	1	f__Xanthomonadaceae
FGB2419	1	f__Coxiellaceae
FGB2424	1	f__Halothiobacillaceae
FGB2429	1	f__Oxalobacteraceae
FGB2430	1	f__Oxalobacteraceae
FGB2432	1	f__Gallionellaceae
FGB2433	1	f__Cardiobacteriaceae
FGB2434	1	f__Neisseriaceae
FGB2435	1	f__Methylophilaceae
FGB2437	1	f__Neisseriaceae
FGB2438	3	f__Oxalobacteraceae,f__Burkholderiaceae,f__Chromobacteriaceae
FGB2439	1	f__Ferrovaceae
FGB2440	1	f__Alcaligenaceae
FGB2441	2	f__Betaproteobacteria_unclassified,f__Alcaligenaceae
FGB2459	1	f__Idiomarinaceae
FGB2460	1	f__Idiomarinaceae
FGB2462	1	f__Alteromonadaceae
FGB2463	1	f__Alteromonadaceae
FGB2466	1	f__Alteromonadaceae
FGB2467	2	f__Alteromonadaceae,f__Pseudoalteromonadaceae
FGB2468	1	f__Gammaproteobacteria_unclassified
FGB2469	3	f__Idiomarinaceae,f__Gammaproteobacteria_unclassified,f__Alcaligenaceae
FGB2470	2	f__Burkholderiales_unclassified,f__Comamonadaceae
FGB2475	1	f__Psychromonadaceae
FGB2476	1	f__Orbaceae
FGB2477	1	f__Pasteurellaceae
FGB2478	3	f__Alteromonadaceae,f__Chromatiaceae,f__Gammaproteobacteria_unclassified
FGB2479	1	f__Vibrionaceae
FGB2481	1	f__Enterobacterales_unclassified
FGB2482	3	f__Aeromonadaceae,f__Gammaproteobacteria_unclassified,f__Ferrimonadaceae
FGB2483	7	f__Enterobacteriaceae,f__Hafniaceae,f__Budviciaceae,f__Yersiniaceae,f__Erwiniaceae,f__Pectobacteriaceae,f__Morganellaceae
FGB2486	1	f__Moritellaceae
FGB2487	1	f__Shewanellaceae
FGB2490	1	f__Moraxellaceae
FGB2491	1	f__Moraxellaceae
FGB2493	1	f__Moraxellaceae
FGB2494	1	f__Moraxellaceae
FGB2500	1	f__Candidatus_Competibacteraceae
FGB2506	1	f__Rhodospirillaceae
FGB2509	2	f__Parvularculaceae,f__Hyphomonadaceae
FGB2517	1	f__Rhodobacteraceae
FGB2519	1	f__Rhodobacteraceae
FGB2526	1	f__Rhodobacteraceae
FGB2527	1	f__Rhodobacteraceae
FGB2531	1	f__Acetobacteraceae
FGB2532	1	f__Acetobacteraceae
FGB2533	1	f__Rhodospirillaceae
FGB2534	2	f__Rhodospirillaceae,f__Alphaproteobacteria_unclassified
FGB2535	2	f__Parvularculaceae,f__Alphaproteobacteria_unclassified
FGB2537	2	f__Alphaproteobacteria_unclassified,f__Caulobacteraceae
FGB2540	1	f__Rhizobiales_unclassified
FGB2541	1	f__Hyphomicrobiaceae
FGB2542	1	f__Rhodobiaceae
FGB2543	1	f__Hyphomicrobiaceae
FGB2544	1	f__Hyphomicrobiaceae
FGB2547	9	f__Rhodobiaceae,f__Brucellaceae,f__Hyphomicrobiaceae,f__Rhodobacteraceae,f__Aurantimonadaceae,f__Alphaproteobacteria_unclassified,f__Notoacmeibacteraceae,f__Phyllobacteriaceae,f__Rhizobiaceae
FGB2548	2	f__Beijerinckiaceae,f__Methylocystaceae
FGB2549	17	f__Rhodobiaceae,f__Bacteria_unclassified,f__Bradyrhizobiaceae,f__Rhizobiales_unclassified,f__Xanthobacteraceae,f__Hyphomicrobiaceae,f__Aurantimonadaceae,f__Salinarimonadaceae,f__Methylobacteriaceae,f__Rhodospirillaceae,f__Beijerinckiaceae,f__Chelatococcaceae,f__Acetobacteraceae,f__Alphaproteobacteria_unclassified,f__Rhodospirillales_unclassified,f__Rhodobacteraceae,f__Methylocystaceae
FGB2551	1	f__Erythrobacteraceae
FGB2552	4	f__Sphingomonadales_unclassified,f__Erythrobacteraceae,f__Alphaproteobacteria_unclassified,f__Sphingomonadaceae
FGB2553	1	f__Hyphomonadaceae
FGB2554	1	f__Caulobacteraceae
FGB2556	2	f__Rhodobiaceae,f__Rhodospirillaceae
FGB2563	2	f__Gammaproteobacteria_unclassified,f__Halomonadaceae
FGB2564	1	f__Spongiibacteraceae
FGB2566	2	f__Alteromonadaceae,f__Halomonadaceae
FGB2568	1	f__Alcanivoracaceae
FGB2569	1	f__Microbulbiferaceae
FGB2572	1	f__Halieaceae
FGB2573	2	f__Gammaproteobacteria_unclassified,f__Halieaceae
FGB2575	1	f__Alcaligenaceae
FGB2576	1	f__Alcaligenaceae
FGB2577	1	f__Salinisphaeraceae
FGB2581	1	f__Ectothiorhodospiraceae
FGB2583	3	f__Gammaproteobacteria_unclassified,f__Ectothiorhodospiraceae,f__Chromatiales_unclassified
FGB2584	1	f__Chromatiaceae
FGB2585	1	f__Gammaproteobacteria_unclassified
FGB2590	1	f__Pseudomonadaceae
FGB2592	1	f__Sinobacteraceae
FGB2593	2	f__Xanthomonadaceae,f__Rhodanobacteraceae
FGB2594	14	f__Neisseriaceae,f__Burkholderiaceae,f__Sterolibacteriaceae,f__Alcaligenaceae,f__Comamonadaceae,f__Zoogloeaceae,f__Oxalobacteraceae,f__Chromobacteriaceae,f__Rhodocyclaceae,f__Betaproteobacteria_unclassified,f__Burkholderiales_unclassified,f__Pseudomonadaceae,f__Azonexaceae,f__Hydrogenophilaceae
FGB2597	1	f__Betaproteobacteria_unclassified
