FGB ID	Number of Families	Family names
FGB1108	1	f__Synergistaceae
FGB1160	1	f__Mycoplasmataceae
FGB1161	1	f__Mycoplasmataceae
FGB1194	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1197	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1198	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1219	1	f__Eubacteriaceae
FGB1220	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1225	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1233	1	f__Hungateiclostridiaceae
FGB1240	1	f__Clostridiaceae
FGB1245	4	f__Erysipelotrichaceae,f__Peptoniphilaceae,f__Tissierellaceae,f__Firmicutes_unclassified
FGB1250	2	f__Erysipelotrichaceae,f__Clostridia_unclassified
FGB1253	1	f__Erysipelotrichaceae
FGB1254	2	f__Erysipelotrichaceae,f__Eubacteriaceae
FGB1255	1	f__Erysipelotrichaceae
FGB1256	1	f__Erysipelotrichaceae
FGB1268	1	f__Eubacteriaceae
FGB1269	1	f__Eubacteriaceae
FGB1277	2	f__Lachnospiraceae,f__Ruminococcaceae
FGB1290	1	f__Eubacteriaceae
FGB1326	1	f__Ruminococcaceae
FGB1330	1	f__Ruminococcaceae
FGB1331	1	f__Ruminococcaceae
FGB1333	1	f__Ruminococcaceae
FGB1334	1	f__Firmicutes_unclassified
FGB1336	3	f__Ruminococcaceae,f__Clostridiaceae,f__Eubacteriaceae
FGB1365	3	f__Clostridiales_unclassified,f__Ruminococcaceae,f__Bacteria_unclassified
FGB1368	1	f__Ruminococcaceae
FGB1369	1	f__Ruminococcaceae
FGB1372	2	f__Lachnospiraceae,f__Ruminococcaceae
FGB1385	1	f__Nitrospinaceae
FGB1398	1	f__Lachnospiraceae
FGB1403	1	f__Lachnospiraceae
FGB1406	1	f__Lachnospiraceae
FGB1407	1	f__Lachnospiraceae
FGB1409	1	f__Lachnospiraceae
FGB1411	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1413	1	f__Lachnospiraceae
FGB1414	4	f__Clostridiales_unclassified,f__Lachnospiraceae,f__Firmicutes_unclassified,f__Ruminococcaceae
FGB1415	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1416	2	f__Lachnospiraceae,f__Ruminococcaceae
FGB1417	3	f__Lachnospiraceae,f__Clostridiaceae,f__Ruminococcaceae
FGB1420	1	f__Clostridiaceae
FGB1421	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1422	1	f__Clostridiaceae
FGB1428	1	f__Lachnospiraceae
FGB1430	1	f__Lachnospiraceae
FGB1432	1	f__Eubacteriaceae
FGB1433	4	f__Clostridiales_unclassified,f__Lachnospiraceae,f__Ruminococcaceae,f__Erysipelotrichaceae
FGB1436	1	f__Lachnospiraceae
FGB1438	1	f__Lachnospiraceae
FGB1439	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1440	2	f__Lachnospiraceae,f__Clostridia_unclassified
FGB1441	3	f__Lachnospiraceae,f__Clostridiaceae,f__Bacteroidaceae
FGB1442	3	f__Lachnospiraceae,f__Clostridiaceae,f__Ruminococcaceae
FGB1443	1	f__Clostridiaceae
FGB1444	1	f__Lachnospiraceae
FGB1447	2	f__Lachnospiraceae,f__Firmicutes_unclassified
FGB1449	3	f__Lachnospiraceae,f__Clostridiaceae,f__Ruminococcaceae
FGB1451	3	f__Lachnospiraceae,f__Clostridiaceae,f__Firmicutes_unclassified
FGB1454	1	f__Lachnospiraceae
FGB1455	2	f__Lachnospiraceae,f__Eubacteriaceae
FGB1457	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1463	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1464	1	f__Firmicutes_unclassified
FGB1466	2	f__Lachnospiraceae,f__Eubacteriaceae
FGB1468	1	f__Lachnospiraceae
FGB1469	1	f__Lachnospiraceae
FGB1472	1	f__Eubacteriaceae
FGB1476	3	f__Clostridiales_unclassified,f__Lachnospiraceae,f__Eubacteriaceae
FGB1477	1	f__Clostridiales_unclassified
FGB1480	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1489	2	f__Lachnospiraceae,f__Eubacteriaceae
FGB1494	1	f__Lachnospiraceae
FGB1500	1	f__Lachnospiraceae
FGB1508	2	f__Lachnospiraceae,f__Clostridia_unclassified
FGB1509	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1515	2	f__Erysipelotrichaceae,f__Lachnospiraceae
FGB1522	1	f__Lachnospiraceae
FGB1527	1	f__Lachnospiraceae
FGB1533	2	f__Lachnospiraceae,f__Fusobacteriaceae
FGB1535	1	f__Lachnospiraceae
FGB1546	1	f__Tissierellia_unclassified
FGB1547	3	f__Clostridiales_unclassified,f__Peptoniphilaceae,f__Firmicutes_unclassified
FGB1565	2	f__Pelagibacterales_unclassified,f__Pelagibacteraceae
FGB1573	2	f__Enterobacteriaceae,f__Morganellaceae
FGB1574	1	f__Vibrionaceae
FGB1576	4	f__Gammaproteobacteria_unclassified,f__Erwiniaceae,f__Legionellaceae,f__Enterobacteriaceae
FGB1577	5	f__Gammaproteobacteria_unclassified,f__Bacteria_unclassified,f__Yersiniaceae,f__Erwiniaceae,f__Enterobacteriaceae
FGB1579	2	f__Flavobacteriales_unclassified,f__Blattabacteriaceae
FGB1580	1	f__Rhizobiales_unclassified
FGB1581	3	f__Oxalobacteraceae,f__Halomonadaceae,f__Betaproteobacteria_unclassified
FGB1588	2	f__Holosporaceae,f__Candidatus_Midichloriaceae
FGB1589	1	f__Rickettsiaceae
FGB1590	1	f__Rhodospirillaceae
FGB1591	1	f__Rickettsiaceae
FGB1601	1	f__Parachlamydiaceae
FGB1603	1	f__Parachlamydiaceae
FGB1604	1	f__Parachlamydiaceae
FGB1605	1	f__Chlamydiaceae
FGB1617	1	f__Gammaproteobacteria_unclassified
FGB1618	1	f__Gammaproteobacteria_unclassified
FGB1619	1	f__Anaplasmataceae
FGB1621	1	f__Anaplasmataceae
FGB1622	1	f__Anaplasmataceae
FGB1623	1	f__Anaplasmataceae
FGB1626	1	f__Mycoplasmataceae
FGB1627	1	f__Mycoplasmataceae
FGB1628	1	f__Mycoplasmataceae
FGB1629	1	f__Mycoplasmataceae
FGB1631	1	f__Mycoplasmataceae
FGB1632	4	f__Spiroplasmataceae,f__Entomoplasmataceae,f__Mycoplasmataceae,f__Acholeplasmataceae
FGB1633	1	f__Leuconostocaceae
FGB1638	1	f__Francisellaceae
FGB1680	1	f__Rhizobiales_unclassified
FGB1687	1	f__Candidatus_Nanopelagicaceae
FGB1688	2	f__Candidatus_Nanopelagicaceae,f__Actinobacteria_unclassified
FGB1701	1	f__Acidaminococcaceae
FGB1702	1	f__Acidaminococcaceae
FGB1704	1	f__Acidaminococcaceae
FGB1705	2	f__Tissierellia_unclassified,f__Veillonellaceae
FGB1706	1	f__Veillonellaceae
FGB1707	1	f__Veillonellaceae
FGB1708	1	f__Veillonellaceae
FGB1709	1	f__Veillonellaceae
FGB1711	1	f__Veillonellaceae
FGB1712	1	f__Veillonellaceae
FGB1717	1	f__Selenomonadaceae
FGB1719	2	f__Mycoplasmataceae,f__Chlamydiaceae
FGB1720	1	f__Mycoplasmataceae
FGB1721	1	f__Mycoplasmataceae
FGB1723	1	f__Brachyspiraceae
FGB1724	1	f__Candidatus_Gracilibacteria_unclassified
FGB1727	1	f__Fusobacteriaceae
FGB1728	1	f__Fusobacteriaceae
FGB1731	1	f__Leptotrichiaceae
FGB1732	1	f__Leptotrichiaceae
FGB1733	1	f__Leptotrichiaceae
FGB1734	1	f__Lachnospiraceae
FGB1735	1	f__Lachnospiraceae
FGB1737	1	f__Peptostreptococcaceae
FGB1738	2	f__Tissierellaceae,f__Tissierellales_unclassified
FGB1742	4	f__Clostridiales_unclassified,f__Clostridiaceae,f__Tissierellaceae,f__Actinomycetaceae
FGB1743	1	f__Clostridiaceae
FGB1744	2	f__Clostridiales_unclassified,f__Clostridiaceae
FGB1746	1	f__Clostridiaceae
FGB1747	1	f__Clostridiaceae
FGB1748	1	f__Clostridiaceae
FGB1749	1	f__Eubacteriaceae
FGB1751	3	f__Lachnospiraceae,f__Clostridiaceae,f__Bacillaceae
FGB1752	5	f__Clostridiaceae,f__Erysipelotrichaceae,f__Peptostreptococcaceae,f__Lachnospiraceae,f__Gottschalkiaceae
FGB1753	1	f__Peptostreptococcaceae
FGB1754	2	f__Clostridiales_unclassified,f__Clostridiaceae
FGB1755	3	f__Clostridiaceae,f__Eubacteriaceae,f__Aerococcaceae
FGB1757	1	f__Clostridiaceae
FGB1803	1	f__Peptostreptococcaceae
FGB1804	5	f__Peptoniphilaceae,f__Peptostreptococcaceae,f__Erysipelotrichaceae,f__Lachnospiraceae,f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1815	2	f__Peptoniphilaceae,f__Aerococcaceae
FGB1817	2	f__Peptostreptococcaceae,f__Lachnospiraceae
FGB1818	2	f__Peptoniphilaceae,f__Tissierellia_unclassified
FGB1819	1	f__Peptoniphilaceae
FGB1820	5	f__Peptoniphilaceae,f__Hungateiclostridiaceae,f__Erysipelotrichaceae,f__Clostridiales_Family_XIII_Incertae_Sedis,f__Clostridiales_unclassified
FGB1821	2	f__Clostridiales_unclassified,f__Peptoniphilaceae
FGB1822	1	f__Clostridiales_unclassified
FGB1823	1	f__Tissierellia_unclassified
FGB1825	2	f__Peptoniphilaceae,f__Clostridiaceae
FGB1828	1	f__Erysipelotrichaceae
FGB1831	3	f__Lactobacillaceae,f__Erysipelotrichaceae,f__Ruminococcaceae
FGB1832	2	f__Erysipelotrichaceae,f__Firmicutes_unclassified
FGB1833	4	f__Chlamydiaceae,f__Erysipelotrichaceae,f__Clostridiaceae,f__Eubacteriaceae
FGB1840	1	f__Erysipelotrichaceae
FGB1841	2	f__Erysipelotrichaceae,f__Ruminococcaceae
FGB1845	1	f__Erysipelotrichaceae
FGB1846	1	f__Tenericutes_unclassified
FGB1849	1	f__Acholeplasmataceae
FGB1855	1	f__Acholeplasmataceae
FGB1860	1	f__Bacteria_unclassified
FGB1863	1	f__Sporomusaceae
FGB1865	1	f__Sporomusaceae
FGB1867	1	f__Sporomusaceae
FGB1871	1	f__Veillonellaceae
FGB1873	1	f__Veillonellaceae
FGB1875	1	f__Selenomonadaceae
FGB1876	2	f__Selenomonadaceae,f__Veillonellaceae
FGB1878	1	f__Selenomonadaceae
FGB1879	1	f__Desulfurobacteriaceae
FGB1888	3	f__Symbiobacteriaceae,f__Clostridiales_Family_XVII_Incertae_Sedis,f__Limnochordaceae
FGB1890	1	f__Alicyclobacillaceae
FGB1891	1	f__Clostridiales_Family_XVI_Incertae_Sedis
FGB1892	1	f__Thermoanaerobacteraceae
FGB1893	1	f__Thermoanaerobacteraceae
FGB1894	2	f__Thermoanaerobacteraceae,f__Heliobacteriaceae
FGB1895	2	f__Peptococcaceae,f__Thermoanaerobacteraceae
FGB1897	1	f__Carnobacteriaceae
FGB1898	1	f__Carnobacteriaceae
FGB1899	1	f__Lactobacillaceae
FGB1901	1	f__Lactobacillaceae
FGB1903	1	f__Lactobacillaceae
FGB1904	1	f__Lactobacillaceae
FGB1905	1	f__Lactobacillaceae
FGB1906	2	f__Lactobacillaceae,f__Bifidobacteriaceae
FGB1907	1	f__Leuconostocaceae
FGB1908	1	f__Leuconostocaceae
FGB1909	1	f__Lactobacillaceae
FGB1910	1	f__Lactobacillaceae
FGB1912	1	f__Lactobacillaceae
FGB1913	1	f__Lactobacillaceae
FGB1915	1	f__Lactobacillaceae
FGB1916	1	f__Lactobacillaceae
FGB1917	2	f__Lactobacillaceae,f__Bacteria_unclassified
FGB1918	1	f__Lactobacillaceae
FGB1920	2	f__Oscillospiraceae,f__Lachnospiraceae
FGB1921	7	f__Clostridiaceae,f__Eubacteriaceae,f__Erysipelotrichaceae,f__Lachnospiraceae,f__Clostridiales_unclassified,f__Ruminococcaceae,f__Christensenellaceae
FGB1922	8	f__Clostridiaceae,f__Eubacteriaceae,f__Oscillospiraceae,f__Hungateiclostridiaceae,f__Lachnospiraceae,f__Bacteria_unclassified,f__Firmicutes_unclassified,f__Ruminococcaceae
FGB1923	1	f__Lachnospiraceae
FGB1924	2	f__Bacillales_unclassified,f__Staphylococcaceae
FGB1927	1	f__Thermoanaerobacteraceae
FGB1928	1	f__Paenibacillaceae
FGB1929	1	f__Paenibacillaceae
FGB1930	1	f__Paenibacillaceae
FGB1931	1	f__Paenibacillaceae
FGB1933	2	f__Bacillaceae,f__Paenibacillaceae
FGB1934	1	f__Paenibacillaceae
FGB1936	1	f__Paenibacillaceae
FGB1937	1	f__Paenibacillaceae
FGB1938	1	f__Paenibacillaceae
FGB1939	1	f__Paenibacillaceae
FGB1940	1	f__Paenibacillaceae
FGB1941	1	f__Paenibacillaceae
FGB1942	1	f__Paenibacillaceae
FGB1943	2	f__Bacillaceae,f__Paenibacillaceae
FGB1944	1	f__Carnobacteriaceae
FGB1946	2	f__Planococcaceae,f__Bacillaceae
FGB1948	1	f__Planococcaceae
FGB1949	1	f__Listeriaceae
FGB1950	1	f__Listeriaceae
FGB1951	1	f__Bacillaceae
FGB1952	1	f__Bacillaceae
FGB1953	3	f__Planococcaceae,f__Nocardiaceae,f__Bacillaceae
FGB1954	1	f__Planococcaceae
FGB1955	2	f__Planococcaceae,f__Bacillaceae
FGB1956	1	f__Bacillaceae
FGB1957	1	f__Bacillaceae
FGB1958	1	f__Bacillaceae
FGB1959	4	f__Bacteria_unclassified,f__Bacilli_unclassified,f__Bacillaceae,f__Micrococcaceae
FGB1960	1	f__Bacillaceae
FGB1961	1	f__Bacillaceae
FGB1962	1	f__Bacillaceae
FGB1963	1	f__Bacillaceae
FGB1964	1	f__Bacillaceae
FGB1965	3	f__Planococcaceae,f__Bacillaceae,f__Shewanellaceae
FGB1966	1	f__Staphylococcaceae
FGB1967	1	f__Bacillaceae
FGB1968	1	f__Staphylococcaceae
FGB1969	1	f__Aerococcaceae
FGB1970	2	f__Bacillales_unclassified,f__Staphylococcaceae
FGB1971	1	f__Carnobacteriaceae
FGB1972	4	f__Clostridiales_unclassified,f__Clostridiaceae,f__Carnobacteriaceae,f__Aerococcaceae
FGB1973	2	f__Carnobacteriaceae,f__Aerococcaceae
FGB1974	1	f__Carnobacteriaceae
FGB1975	6	f__Bacillaceae,f__Enterococcaceae,f__Aerococcaceae,f__Lactobacillaceae,f__Carnobacteriaceae,f__Streptococcaceae
FGB1976	1	f__Streptococcaceae
FGB1978	1	f__Aerococcaceae
FGB1979	1	f__Carnobacteriaceae
FGB1980	1	f__Thermoactinomycetaceae
FGB1982	1	f__Thermoactinomycetaceae
FGB1985	1	f__Thermoactinomycetaceae
FGB1987	1	f__Sporolactobacillaceae
FGB1991	1	f__Bacillaceae
FGB1992	1	f__Bacillaceae
FGB1993	1	f__Bacillaceae
FGB1994	1	f__Bacillaceae
FGB1995	2	f__Sporolactobacillaceae,f__Bacillaceae
FGB1996	1	f__Bacillales_unclassified
FGB1997	1	f__Bacillales_unclassified
FGB1998	2	f__Planococcaceae,f__Bacillaceae
FGB1999	2	f__Bacillaceae,f__Sporolactobacillaceae
FGB2000	1	f__Bacillaceae
FGB2001	1	f__Bacillaceae
FGB2005	1	f__Bacillaceae
FGB2008	1	f__Peptococcaceae
FGB2009	1	f__Peptococcaceae
FGB2011	1	f__Peptococcaceae
FGB2014	1	f__Alicyclobacillaceae
FGB2020	1	f__Peptococcaceae
FGB2022	2	f__Peptococcaceae,f__Thermoanaerobacteraceae
FGB2023	1	f__Peptococcaceae
FGB2032	1	f__Balneolaceae
FGB2034	1	f__Chlorobiaceae
FGB2043	7	f__Clostridiaceae,f__Syntrophomonadaceae,f__Hungateiclostridiaceae,f__Lachnospiraceae,f__Thermoanaerobacterales_Family_IV_Incertae_Sedis,f__Tissierellia_unclassified,f__Ruminococcaceae
FGB2045	1	f__Peptostreptococcaceae
FGB2054	1	f__Synergistaceae
FGB2059	1	f__Acidimicrobiaceae
FGB2065	1	f__Micrococcales_unclassified
FGB2068	1	f__Alicyclobacillaceae
FGB2072	1	f__Clostridiales_Family_XVII_Incertae_Sedis
FGB2073	1	f__Natranaerobiaceae
FGB2074	1	f__Bacillales_unclassified
FGB2075	1	f__Clostridiaceae
FGB2076	2	f__Clostridiales_unclassified,f__Clostridiaceae
FGB2078	2	f__Lachnospiraceae,f__Clostridiaceae
FGB2083	1	f__Thermoanaerobacterales_Family_III_Incertae_Sedis
FGB2084	1	f__Dictyoglomaceae
FGB2085	2	f__Thermoanaerobacteraceae,f__Thermoanaerobacterales_Family_III_Incertae_Sedis
FGB2086	1	f__Coprothermobacteraceae
FGB2087	2	f__Thermoanaerobacteraceae,f__Thermoanaerobacterales_Family_III_Incertae_Sedis
FGB2093	2	f__Clostridiales_unclassified,f__Firmicutes_unclassified
FGB2097	1	f__Halanaerobiaceae
FGB2098	1	f__Halobacteroidaceae
FGB2099	1	f__Halobacteroidaceae
FGB2129	1	f__Opitutaceae
FGB2130	2	f__Opitutaceae,f__Verrucomicrobia_unclassified
FGB2143	1	f__Peptococcaceae
FGB2149	1	f__Methylacidiphilaceae
FGB2181	2	f__Desulfovibrionaceae,f__Spirochaetaceae
FGB2182	1	f__Desulfovibrionaceae
FGB2187	1	f__Desulfovibrionaceae
FGB2189	1	f__Desulfobulbaceae
FGB2197	1	f__Desulfobulbaceae
FGB2199	1	f__Desulfuromonadaceae
FGB2203	2	f__Geobacteraceae,f__Desulfuromonadaceae
FGB2205	2	f__Geobacteraceae,f__Desulfuromonadaceae
FGB2206	1	f__Geobacteraceae
FGB2210	10	f__Desulfobulbaceae,f__Desulfohalobiaceae,f__Desulfarculaceae,f__Desulfovibrionaceae,f__Geobacteraceae,f__Desulfobacteraceae,f__Syntrophobacteraceae,f__Kiritimatiellaceae,f__Shewanellaceae,f__Dehalococcoidia_unclassified
FGB2211	2	f__Desulfobulbaceae,f__Deltaproteobacteria_unclassified
FGB2239	2	f__Cardiobacteriaceae,f__Desulfobacteraceae
FGB2242	1	f__Desulfobacteraceae
FGB2243	1	f__Syntrophobacteraceae
FGB2245	1	f__Desulfobacteraceae
FGB2246	1	f__Desulfobacteraceae
FGB2247	1	f__Desulfobacteraceae
FGB2254	1	f__Syntrophaceae
FGB2259	1	f__Syntrophaceae
FGB2268	1	f__Nitrospiraceae
FGB2269	1	f__Acidobacteriaceae
FGB2271	1	f__Acidobacteriaceae
FGB2276	1	f__Nitrospiraceae
FGB2277	1	f__Nitrospiraceae
